[2026-06-19 22:41:32] ERROR: Invalid JSON response {"method":"GET","url":"http://localhost/api/User/GetAllUsers","body":"","http_code":403}
[2026-06-19 22:41:32] ERROR: Invalid JSON response {"method":"GET","url":"http://localhost/api/User/GetAllUsers","body":"","http_code":403}
[2026-06-19 22:41:35] ERROR: Invalid JSON response {"method":"GET","url":"http://localhost/api/User/GetAllUsers","body":"","http_code":403}
[2026-06-19 22:41:35] ERROR: Invalid JSON response {"method":"GET","url":"http://localhost/api/User/GetAllUsers","body":"","http_code":403}
[2026-06-19 22:41:38] ERROR: Invalid JSON response {"method":"GET","url":"http://localhost/api/User/GetAllUsers","body":"","http_code":403}
[2026-06-19 22:41:38] ERROR: Invalid JSON response {"method":"GET","url":"http://localhost/api/User/GetAllUsers","body":"","http_code":403}
[2026-06-19 22:41:43] ERROR: Invalid JSON response {"method":"GET","url":"http://localhost/api/User/GetAllUsers","body":"","http_code":403}
[2026-06-19 22:41:45] ERROR: Invalid JSON response {"method":"POST","url":"http://localhost/api/Article/GetAllArticles","body":"","http_code":403}
[2026-06-19 22:41:45] ERROR: Invalid JSON response {"method":"GET","url":"http://localhost/api/User/GetAllUsers","body":"","http_code":403}
[2026-06-19 22:42:04] ERROR: Invalid JSON response {"method":"GET","url":"http://localhost/api/User/GetAllUsers","body":"","http_code":403}
[2026-06-19 22:42:06] ERROR: Invalid JSON response {"method":"GET","url":"http://localhost/api/User/GetAllUsers","body":"","http_code":403}
[2026-06-19 22:42:06] ERROR: Invalid JSON response {"method":"GET","url":"http://localhost/api/User/GetAllUsers","body":"","http_code":403}
[2026-06-19 22:42:09] ERROR: Invalid JSON response {"method":"POST","url":"http://localhost/api/Article/GetAllArticles","body":"","http_code":403}
[2026-06-19 22:42:09] ERROR: Invalid JSON response {"method":"GET","url":"http://localhost/api/User/GetAllUsers","body":"","http_code":403}
[2026-06-19 22:45:47] ERROR: Invalid JSON response {"method":"GET","url":"http://localhost/api/User/GetAllUsers","body":"","http_code":403}
[2026-06-19 22:45:49] ERROR: Invalid JSON response {"method":"GET","url":"http://localhost/api/User/GetAllUsers","body":"","http_code":403}
[2026-06-19 22:45:49] ERROR: Invalid JSON response {"method":"GET","url":"http://localhost/api/User/GetAllUsers","body":"","http_code":403}
[2026-06-19 22:45:52] ERROR: Invalid JSON response {"method":"GET","url":"http://localhost/api/User/GetAllUsers","body":"","http_code":403}
[2026-06-19 22:45:55] ERROR: Invalid JSON response {"method":"GET","url":"http://localhost/api/User/GetAllUsers","body":"","http_code":403}
[2026-06-19 22:45:55] ERROR: Invalid JSON response {"method":"GET","url":"http://localhost/api/User/GetAllUsers","body":"","http_code":403}
[2026-06-19 22:46:04] ERROR: Invalid JSON response {"method":"GET","url":"http://localhost/api/User/GetAllUsers","body":"","http_code":403}
[2026-06-19 22:46:12] ERROR: Invalid JSON response {"method":"GET","url":"http://localhost/api/User/GetAllUsers","body":"","http_code":403}
[2026-06-19 22:46:13] ERROR: Invalid JSON response {"method":"GET","url":"http://localhost/api/User/GetAllUsers","body":"","http_code":403}
[2026-06-19 22:46:13] ERROR: Invalid JSON response {"method":"GET","url":"http://localhost/api/User/GetAllUsers","body":"","http_code":403}
[2026-06-19 22:46:52] ERROR: Invalid JSON response {"method":"GET","url":"http://localhost/api/User/GetAllUsers","body":"","http_code":403}
[2026-06-19 22:46:54] ERROR: Invalid JSON response {"method":"GET","url":"http://localhost/api/User/GetAllUsers","body":"","http_code":403}
[2026-06-19 22:46:54] ERROR: Invalid JSON response {"method":"GET","url":"http://localhost/api/User/GetAllUsers","body":"","http_code":403}
[2026-06-19 22:47:02] ERROR: Invalid JSON response {"method":"POST","url":"http://localhost/api/Article/GetAllArticles","body":"","http_code":403}
[2026-06-19 22:47:02] ERROR: Invalid JSON response {"method":"GET","url":"http://localhost/api/User/GetAllUsers","body":"","http_code":403}
[2026-06-19 22:47:29] ERROR: Invalid JSON response {"method":"GET","url":"http://localhost/api/User/GetAllUsers","body":"","http_code":403}
[2026-06-19 22:47:29] ERROR: Invalid JSON response {"method":"GET","url":"http://localhost/api/User/GetAllUsers","body":"","http_code":403}
[2026-06-19 22:47:34] ERROR: Invalid JSON response {"method":"POST","url":"http://localhost/api/Article/GetAllArticles","body":"","http_code":403}
[2026-06-19 22:47:34] ERROR: Invalid JSON response {"method":"GET","url":"http://localhost/api/User/GetAllUsers","body":"","http_code":403}
[2026-06-19 22:50:59] ERROR: Invalid JSON response {"method":"GET","url":"http://localhost/api/User/GetAllUsers","body":"","http_code":403}
[2026-06-19 22:51:01] ERROR: Invalid JSON response {"method":"GET","url":"http://localhost/api/User/GetAllUsers","body":"","http_code":403}
[2026-06-19 22:51:01] ERROR: Invalid JSON response {"method":"GET","url":"http://localhost/api/User/GetAllUsers","body":"","http_code":403}
[2026-06-19 22:51:03] ERROR: Invalid JSON response {"method":"POST","url":"http://localhost/api/Article/GetAllArticles","body":"","http_code":403}
[2026-06-19 22:51:03] ERROR: Invalid JSON response {"method":"GET","url":"http://localhost/api/User/GetAllUsers","body":"","http_code":403}
[2026-06-19 22:51:06] ERROR: Invalid JSON response {"method":"GET","url":"http://localhost/api/User/GetAllUsers","body":"","http_code":403}
[2026-06-19 22:51:09] ERROR: Invalid JSON response {"method":"GET","url":"http://localhost/api/User/GetAllUsers","body":"","http_code":403}
[2026-06-19 22:51:09] ERROR: Invalid JSON response {"method":"GET","url":"http://localhost/api/User/GetAllUsers","body":"","http_code":403}
[2026-06-19 22:51:16] ERROR: Invalid JSON response {"method":"GET","url":"http://localhost/api/User/GetAllUsers","body":"","http_code":403}
[2026-06-19 22:51:16] ERROR: Invalid JSON response {"method":"GET","url":"http://localhost/api/User/GetAllUsers","body":"","http_code":403}
[2026-06-19 22:51:18] ERROR: Invalid JSON response {"method":"POST","url":"http://localhost/api/Article/GetAllArticles","body":"","http_code":403}
[2026-06-19 22:51:18] ERROR: Invalid JSON response {"method":"GET","url":"http://localhost/api/User/GetAllUsers","body":"","http_code":403}
[2026-06-19 22:51:51] ERROR: Invalid JSON response {"method":"GET","url":"http://localhost/api/User/GetAllUsers","body":"","http_code":403}
[2026-06-19 22:51:53] ERROR: Invalid JSON response {"method":"GET","url":"http://localhost/api/User/GetAllUsers","body":"","http_code":403}
[2026-06-19 22:51:53] ERROR: Invalid JSON response {"method":"GET","url":"http://localhost/api/User/GetAllUsers","body":"","http_code":403}
[2026-06-19 22:53:06] ERROR: Invalid JSON response {"method":"GET","url":"http://localhost/api/User/GetAllUsers","body":"","http_code":403}
[2026-06-19 22:53:07] ERROR: Invalid JSON response {"method":"GET","url":"http://localhost/api/User/GetAllUsers","body":"","http_code":403}
[2026-06-19 23:00:03] ERROR: Invalid JSON response {"method":"GET","url":"http://localhost/api/User/GetAllUsers","body":"","http_code":403}
[2026-06-19 23:00:04] ERROR: Invalid JSON response {"method":"GET","url":"http://localhost/api/User/GetAllUsers","body":"","http_code":403}
[2026-06-19 23:00:12] ERROR: Invalid JSON response {"method":"GET","url":"http://localhost/api/User/GetAllUsers","body":"","http_code":403}
[2026-06-19 23:01:33] ERROR: Invalid JSON response {"method":"GET","url":"http://localhost/api/User/GetAllUsers","body":"","http_code":403}
[2026-06-19 23:01:35] ERROR: Invalid JSON response {"method":"GET","url":"http://localhost/api/User/GetAllUsers","body":"","http_code":403}
[2026-06-19 23:01:38] ERROR: Invalid JSON response {"method":"GET","url":"http://localhost/api/User/GetAllUsers","body":"","http_code":403}
[2026-06-19 23:02:30] ERROR: Invalid JSON response {"method":"GET","url":"http://localhost/api/User/GetAllUsers","body":"","http_code":403}
[2026-06-19 23:02:48] ERROR: Invalid JSON response {"method":"GET","url":"http://localhost/api/User/GetAllUsers","body":"","http_code":403}
[2026-06-19 23:03:11] ERROR: Invalid JSON response {"method":"GET","url":"http://localhost/api/User/GetAllUsers","body":"","http_code":403}
[2026-06-19 23:03:13] ERROR: Invalid JSON response {"method":"POST","url":"http://localhost/api/Article/GetAllArticles","body":"","http_code":403}
[2026-06-19 23:29:01] ERROR: Invalid JSON response {"method":"GET","url":"http://localhost:5104/api/User/GetAllUsers","body":"","http_code":403}
[2026-06-19 23:29:04] ERROR: Invalid JSON response {"method":"POST","url":"http://localhost:5104/api/Article/GetAllArticles","body":"","http_code":403}
[2026-06-19 23:29:07] ERROR: Invalid JSON response {"method":"GET","url":"http://localhost:5104/api/User/GetAllUsers","body":"","http_code":403}
[2026-06-19 23:32:09] ERROR: Invalid JSON response {"method":"GET","url":"http://localhost:5104/api/User/GetAllUsers","body":"","http_code":403}
[2026-06-19 23:34:32] ERROR: Invalid JSON response {"method":"GET","url":"http://localhost:5104/api/User/GetAllUsers","body":"","http_code":403}
[2026-06-19 23:35:02] ERROR: Invalid JSON response {"method":"GET","url":"http://localhost:5104/api/User/GetAllUsers","body":"","http_code":403}
[2026-06-19 23:45:41] ERROR: HTTP cURL error {"method":"POST","url":"http://localhost:5104/api/User/Login","error":"Failed to connect to localhost port 5104 after 2246 ms: Couldn't connect to server"}
[2026-06-22 13:55:30] ERROR: Invalid JSON response {"method":"POST","url":"http://localhost:5104/api/VacationRequest/Create","body":"","http_code":401}
[2026-06-22 14:09:12] ERROR: Invalid JSON response {"method":"GET","url":"http://localhost:5104/api/User/GetAllUsers","body":"","http_code":401}
[2026-06-22 14:20:28] ERROR: Invalid JSON response {"method":"GET","url":"http://localhost:5104/api/VacationRequest/GetFiles/3","body":"","http_code":401}
[2026-06-22 14:20:43] ERROR: Invalid JSON response {"method":"GET","url":"http://localhost:5104/api/VacationRequest/GetFiles/3","body":"","http_code":401}
[2026-06-22 14:21:44] ERROR: HTTP cURL error {"method":"GET","url":"http://localhost:5104/api/VacationRequest/GetMy","error":"Failed to connect to localhost port 5104 after 2230 ms: Couldn't connect to server"}
[2026-06-22 14:53:25] ERROR: Invalid JSON response {"method":"GET","url":"http://localhost:5104/api/VacationRequest/GetMy","body":"","http_code":401}
[2026-06-22 14:55:07] ERROR: Invalid JSON response {"method":"GET","url":"http://localhost:5104/api/User/GetAllUsers","body":"","http_code":403}
[2026-06-22 15:08:36] ERROR: Invalid JSON response {"method":"GET","url":"http://localhost:5104/api/VacationRequest/GetAll","body":"","http_code":401}
[2026-06-22 15:17:22] ERROR: Invalid JSON response {"method":"GET","url":"http://localhost:5104/api/VacationRequest/GetAll","body":"","http_code":401}
[2026-06-22 15:19:06] ERROR: Invalid JSON response {"method":"GET","url":"http://localhost:5104/api/User/GetAllUsers","body":"","http_code":403}
[2026-06-22 15:20:06] ERROR: Invalid JSON response {"method":"GET","url":"http://localhost:5104/api/User/GetAllUsers","body":"","http_code":403}
[2026-06-22 15:28:26] ERROR: Invalid JSON response {"method":"GET","url":"http://localhost:5104/api/VacationRequest/GetMy","body":"","http_code":401}
[2026-06-22 15:28:34] ERROR: Invalid JSON response {"method":"GET","url":"http://localhost:5104/api/User/GetAllUsers","body":"","http_code":403}
[2026-06-22 15:29:06] ERROR: Invalid JSON response {"method":"GET","url":"http://localhost:5104/api/VacationRequest/GetMy","body":"","http_code":401}
[2026-06-22 15:31:09] ERROR: Invalid JSON response {"method":"GET","url":"http://localhost:5104/api/User/GetAllUsers","body":"","http_code":403}
[2026-06-22 15:33:10] ERROR: Invalid JSON response {"method":"GET","url":"http://localhost:5104/api/User/GetAllUsers","body":"","http_code":403}
[2026-06-22 15:33:47] ERROR: Invalid JSON response {"method":"GET","url":"http://localhost:5104/api/User/GetAllUsers","body":"","http_code":403}
[2026-06-22 15:42:44] ERROR: Invalid JSON response {"method":"GET","url":"http://localhost:5104/api/VacationRequest/GetRequestsToSign","body":"","http_code":401}
[2026-06-22 16:20:04] ERROR: Invalid JSON response {"method":"GET","url":"http://localhost:5104/api/User/GetAllUsers","body":"","http_code":401}
[2026-06-22 16:21:40] ERROR: Invalid JSON response {"method":"GET","url":"http://localhost:5104/api/User/GetAllUsers","body":"","http_code":403}
[2026-06-22 16:23:23] ERROR: Invalid JSON response {"method":"GET","url":"http://localhost:5104/api/User/GetAllUsers","body":"","http_code":403}
[2026-06-22 16:23:45] ERROR: Invalid JSON response {"method":"GET","url":"http://localhost:5104/api/User/GetAllUsers","body":"","http_code":403}
[2026-06-22 16:24:12] ERROR: Invalid JSON response {"method":"GET","url":"http://localhost:5104/api/User/GetAllUsers","body":"","http_code":403}
[2026-06-22 16:58:04] ERROR: Invalid JSON response {"method":"GET","url":"http://localhost:5104/api/VacationRequest/GetAll","body":"","http_code":401}
[2026-06-22 17:03:13] ERROR: Invalid JSON response {"method":"POST","url":"http://localhost:5104/api/VacationRequest/Reject","body":"","http_code":401}
